financial_year,reporting_period,month,date,organisation,org_code,org_name,region_code,region_name,rgn19cd,sas_ordinary_elective,sas_daycase_elective,sas_elective_total,sas_non_elective,sas_first_attendances_GP_ref,sas_first_attendances_other_ref,sas_first_attendances_total,sas_first_attendances_DNA,sas_subsequent_attendances_seen,sas_subsequent_attendances_DNA,as_ordinary_elective,as_daycase_elective,as_elective_total,as_non_elective,as_first_attendances_GP_ref,as_first_attendances_other_ref,as_first_attendances_total,as_first_attendances_DNA,as_subsequent_attendances_seen,as_subsequent_attendances_DNA,total_admissions
2019-20,14,Apr-19,01/04/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,14180,83500,97680,86350,124325,110550,234875,21050,551750,46200,14390,83535,97925,102360,148105,154645,302750,29200,764895,66545,3134810
2019-20,14,Apr-19,01/04/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,17495,103975,121470,95805,146925,146235,293160,19475,583645,45045,18110,104130,122240,114190,168775,181765,350535,24620,775620,60375,3493590
2019-20,14,May-19,01/05/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18990,83780,102775,83525,177650,198735,376385,41945,676415,77595,19805,84150,103955,108995,210310,257350,467660,51565,934210,105365,4181160
2019-20,14,May-19,01/05/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,12660,65390,78050,62640,82180,84080,166260,10295,320590,21485,12965,65400,78365,73040,107690,131205,238890,15925,488920,34020,2150050
2019-20,14,May-19,01/05/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,19365,89305,108670,90865,166105,165380,331485,19820,565950,38080,19710,89365,109075,105565,204200,242835,447035,27080,897610,57200,3794700
2019-20,14,May-19,01/05/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,23560,124735,148295,121165,191995,171980,363980,25430,670140,47380,24470,125010,149480,144850,260455,263990,524445,35715,1031415,71415,4519905
2019-20,14,May-19,01/05/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,14215,72985,87205,67555,114540,104105,218650,14665,399885,30335,14570,73065,87635,81410,133770,151120,284890,18785,618800,41705,2629890
2019-20,14,May-19,01/05/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,15280,89370,104650,90090,127995,116770,244765,22610,571255,49325,15500,89410,104910,107385,152595,162420,315015,31200,792015,70130,3272690
2019-20,14,May-19,01/05/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,18900,108005,126905,99045,153470,153530,307000,20890,607980,47960,19275,108100,127375,118290,175820,189505,365325,25970,804915,63695,3641955
2019-20,14,Jun-19,01/06/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18225,79945,98170,79085,170315,192805,363120,40190,644745,73960,18985,80295,99280,103530,200440,247585,448030,49215,883965,99750,3991635
2019-20,14,Jun-19,01/06/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,12170,62555,74725,58160,79710,80470,160185,10200,307685,20160,12495,62575,75065,68215,104215,125575,229790,15340,466630,31780,2057700
2019-20,14,Jun-19,01/06/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,18405,85540,103945,86745,159560,156750,316305,18885,530235,37430,18735,85590,104325,101190,196085,229285,425365,25655,839965,55575,3595570
2019-20,14,Jun-19,01/06/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,22770,117480,140250,114210,183925,162305,346230,24245,632590,44885,23550,117725,141280,137190,249660,247865,497520,34160,969090,67600,4274530
2019-20,14,Jun-19,01/06/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,14095,69425,83520,64010,110920,99660,210580,14375,377385,28625,14470,69480,83950,77700,128905,143915,272820,18150,583485,39370,2504840
2019-20,14,Jun-19,01/06/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,14870,85215,100085,84305,124195,109670,233870,21835,537970,45845,15090,85255,100345,100885,148355,152800,301155,29835,747955,65320,3104855
2019-20,14,Jun-19,01/06/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,18825,102340,121160,92475,148905,145945,294850,20225,576825,46465,19185,102455,121640,111395,170055,180395,350450,24965,761860,60765,3471180
2019-20,14,Jul-19,01/07/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,19705,88270,107980,82990,191305,213135,404440,45290,719185,81515,20545,88665,109210,108460,223940,274000,497940,55345,988820,110080,4430820
2019-20,14,Jul-19,01/07/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,12735,69610,82345,60855,87320,89870,177190,11205,338695,21795,13055,69645,82700,71415,113805,140985,254785,17230,516480,34650,2266370
